"time","date","symbol","event","actual","deviation","consensus","previous","day_value","date_time"
"06:00",2022-10-13,"EUR","Consumer Price Index (YoY)(Sep)",0.1,0,0.1,0.1,"13",2022-10-13 17:00:00
"06:00",2022-10-13,"EUR","Harmonized Index of Consumer Prices (MoM)(Sep)",0.022,0,0.022,0.022,"13",2022-10-13 17:00:00
"06:00",2022-10-13,"EUR","Harmonized Index of Consumer Prices (YoY)(Sep)",0.109,0,0.109,0.109,"13",2022-10-13 17:00:00
"06:30",2022-10-13,"CHF","Producer and Import Prices (MoM)(Sep)",0.002,0.4,0.005,0.001,"13",2022-10-13 17:30:00
"06:30",2022-10-13,"CHF","Producer and Import Prices (YoY)(Sep)",0.054,1.66,0.046,0.055,"13",2022-10-13 17:30:00
"12:30",2022-10-13,"USD","Consumer Price Index (MoM)(Sep)",0.004,1.16,0.002,0.001,"13",2022-10-13 23:30:00
"12:30",2022-10-13,"USD","Consumer Price Index (YoY)(Sep)",0.082,0.54,0.081,0.083,"13",2022-10-13 23:30:00
"12:30",2022-10-13,"USD","Consumer Price Index Core s.a(Sep)",298.66,NA,NA,296.95,"13",2022-10-13 23:30:00
"12:30",2022-10-13,"USD","Consumer Price Index ex Food & Energy (MoM)(Sep)",0.006,0.6,0.005,0.006,"13",2022-10-13 23:30:00
"12:30",2022-10-13,"USD","Consumer Price Index ex Food & Energy (YoY)(Sep)",0.066,0.65,0.065,0.063,"13",2022-10-13 23:30:00
"12:30",2022-10-13,"USD","Consumer Price Index n.s.a (MoM)(Sep)",296.808,0.94,296.43,296.171,"13",2022-10-13 23:30:00
"12:30",2022-10-13,"USD","Continuing Jobless Claims(Sep 30)",136800000,0.06,136500000,136500000,"13",2022-10-13 23:30:00
"12:30",2022-10-13,"USD","Initial Jobless Claims(Oct 7)",228000,0.21,225000,219000,"13",2022-10-13 23:30:00
"12:30",2022-10-13,"USD","Initial Jobless Claims 4-week average(Oct 7)",211500,NA,NA,206500,"13",2022-10-13 23:30:00
"13:00",2022-10-14,"EUR","Current Account n.s.a.(Aug)",6e+08,1.13,8.2e+09,5.4e+09,"13",2022-10-14 00:00:00
"14:30",2022-10-14,"USD","EIA Natural Gas Storage Change(Oct 7)",1.25e+11,0.23,1.23e+11,1.29e+11,"13",2022-10-14 01:30:00
"15:00",2022-10-14,"USD","EIA Crude Oil Stocks Change(Oct 7)",98800000,2.07,17500000,135600000,"13",2022-10-14 02:00:00
"15:30",2022-10-14,"USD","4-Week Bill Auction",0.0325,NA,NA,0.0292,"13",2022-10-14 02:30:00
"17:00",2022-10-14,"USD","30-Year Bond Auction",0.0393,NA,NA,0.03511,"13",2022-10-14 04:00:00
"21:30",2022-10-14,"NZD","Business NZ PMI(Sep)",52,0.27,52.5,54.8,"13",2022-10-14 08:30:00
"23:50",2022-10-14,"JPY","Foreign Bond Investment(Oct 7)",1,NA,NA,8.863e+11,"13",2022-10-14 10:50:00
"23:50",2022-10-14,"JPY","Foreign Investment in Japan Stocks(Oct 7)",1,NA,NA,5.018e+11,"13",2022-10-14 10:50:00
"23:50",2022-10-14,"JPY","Money Supply M2+CD (YoY)(Sep)",0.033,0.86,0.038,0.034,"13",2022-10-14 10:50:00
"01:30",2022-10-14,"CNY","Consumer Price Index (MoM)(Sep)",0.003,0.58,0.004,0.001,"14",2022-10-14 12:30:00
"01:30",2022-10-14,"CNY","Consumer Price Index (YoY)(Sep)",0.028,0,0.028,0.025,"14",2022-10-14 12:30:00
"01:30",2022-10-14,"CNY","Producer Price Index (YoY)(Sep)",0.009,0.07,0.01,0.023,"14",2022-10-14 12:30:00
"06:00",2022-10-14,"EUR","Wholesale Price Index (MoM)(Sep)",0.016,0.14,0.011,0.001,"14",2022-10-14 17:00:00
"06:00",2022-10-14,"EUR","Wholesale Price Index (YoY)(Sep)",0.199,0.89,0.19,0.189,"14",2022-10-14 17:00:00
"06:45",2022-10-14,"EUR","Consumer Price Index (EU norm) (MoM)(Sep)",0.005,0,0.005,0.005,"14",2022-10-14 17:45:00
"06:45",2022-10-14,"EUR","Consumer Price Index (EU norm) (YoY)(Sep)",0.062,0,0.062,0.062,"14",2022-10-14 17:45:00
"06:45",2022-10-14,"EUR","Inflation ex-tobacco (MoM)(Sep)",0.006,NA,NA,0.005,"14",2022-10-14 17:45:00
"07:00",2022-10-14,"EUR","Consumer Price Index (MoM)(Sep)",0.007,0.11,0.006,0.006,"14",2022-10-14 18:00:00
"07:00",2022-10-14,"EUR","Consumer Price Index (YoY)(Sep)",0.089,0.21,0.09,0.09,"14",2022-10-14 18:00:00
"07:00",2022-10-14,"EUR","Harmonized Index of Consumer Prices (MoM)(Sep)",0.002,0.63,0,0,"14",2022-10-14 18:00:00
"07:00",2022-10-14,"EUR","Harmonized Index of Consumer Prices (YoY)(Sep)",0.09,0.74,0.093,0.093,"14",2022-10-14 18:00:00
"09:00",2022-10-14,"EUR","Trade Balance n.s.a.(Aug)",5.09e+10,NA,NA,3.4e+10,"14",2022-10-14 20:00:00
"09:00",2022-10-14,"EUR","Trade Balance s.a.(Aug)",4.73e+10,NA,NA,4.05e+10,"14",2022-10-14 20:00:00
"12:30",2022-10-14,"USD","Export Price Index (MoM)(Sep)",0.008,0.17,0.01,0.017,"14",2022-10-14 23:30:00
"12:30",2022-10-14,"USD","Export Price Index (YoY)(Sep)",0.095,0.8,0.073,0.108,"14",2022-10-14 23:30:00
"12:30",2022-10-14,"USD","Import Price Index (MoM)(Sep)",0.012,0.35,0.011,0.011,"14",2022-10-14 23:30:00
"12:30",2022-10-14,"USD","Import Price Index (YoY)(Sep)",0.06,0.08,0.061,0.078,"14",2022-10-14 23:30:00
"12:30",2022-10-14,"USD","Retail Sales (MoM)(Sep)",0,0.68,0.002,0.004,"14",2022-10-14 23:30:00
"12:30",2022-10-14,"USD","Retail Sales Control Group(Sep)",0.004,0.22,0.003,0.002,"14",2022-10-14 23:30:00
"12:30",2022-10-14,"USD","Retail Sales ex Autos (MoM)(Sep)",0.001,0.53,0.001,0.001,"14",2022-10-14 23:30:00
